date,message,repo
2025-10-10,"feat: Implement live audio streaming with real-time analysis and visualization

- Add Analyser class for FFT analysis of audio input, producing 16 bins.
- Create AudioIO class for handling microphone input and speaker output, including PCM conversion.
- Develop GeminiLiveClient for WebSocket communication with Gemini Live API, sending and receiving audio data.
- Build LiveAudioPage to manage audio streaming, permissions, and UI state.
- Integrate SphereScene for 3D visualization of audio data, reacting to input and output energy.
- Ensure proper resource management with initialization and disposal of audio components.",Inforwaves/articom-base-mobile
2025-10-02,feat: Implement theme management and add SettingsSheet for user preferences,Inforwaves/articom-base-mobile
2025-10-02,feat: Add ProfileSheet widget and integrate it into HomePage for user profile display and sign-out functionality,Inforwaves/articom-base-mobile
2025-10-02,feat: Add HistorySheet widget and integrate it into HomePage for displaying user conversation history,Inforwaves/articom-base-mobile
2025-10-02,style: Format code for improved readability in HomePage and ActionsSheet,Inforwaves/articom-base-mobile
2025-10-02,"feat: Add ActionsSheet, ExploreSheet, MenuAction, and NavigationSideMenu widgets

- Implemented ActionsSheet for displaying action items in a draggable sheet.
- Created ExploreSheet to showcase programs, suggestions, and a hero section with video support.
- Introduced MenuAction class to represent items in the navigation side menu.
- Developed NavigationSideMenu for a drawer-style menu with customizable actions and close functionality.",Inforwaves/articom-base-mobile
2025-10-02,feat: Implement Actions bottom sheet with dynamic action sections for enhanced user interaction,Inforwaves/articom-base-mobile
2025-10-02,feat: Replace Explore bottom sheet implementation with DraggableScrollableSheet for improved user experience,Inforwaves/articom-base-mobile
2025-10-02,feat: Add Explore bottom sheet with mini cards and suggestion pills for enhanced user interaction,Inforwaves/articom-base-mobile
2025-10-02,feat: Enhance side menu functionality with dynamic action handling and add Explore bottom sheet,Inforwaves/articom-base-mobile
2025-10-02,feat: Refactor AppBar implementation in HomePage for improved layout and glassmorphic effect,Inforwaves/articom-base-mobile
2025-10-02,feat: Refactor HomePage to use StatefulWidget and implement side menu with animations,Inforwaves/articom-base-mobile
2025-10-02,"chore: update dependencies and versions

- Updated `flutter_test` dependencies by removing unused packages and retaining only necessary ones.
- Bumped `test_api` version from 0.7.4 to 0.7.6.
- Removed deprecated packages from `pubspec.lock` and updated versions for `leak_tracker`, `leak_tracker_flutter_testing`, and `test`.
- Updated Flutter SDK version from 3.32.8 to 3.35.4.
- Adjusted `minSdk` in `build.gradle` to use `flutter.minSdkVersion`.
- Updated `flutter-plugins-dependencies` to reflect the latest plugin versions and paths.",Inforwaves/articom-base-mobile
2025-09-04,style: Format code for better readability in HomePage and SuggestionPills components,Inforwaves/articom-base-mobile
2025-09-04,feat: Add SuggestionPills component and integrate into HomePage and routing,Inforwaves/articom-base-mobile
2025-09-04,feat: Enhance MiniCard layout with improved image and text positioning for left and right variants,Inforwaves/articom-base-mobile
2025-09-04,style: Adjust border radius and padding in MiniCard layout for consistency,Inforwaves/articom-base-mobile
2025-09-04,feat: Add MiniCard component and integrate into navigation,Inforwaves/articom-base-mobile
2025-09-04,chore: Remove unused SwipeCardItem model file,Inforwaves/articom-base-mobile
2025-09-04,feat: Add SwipeCard component and integrate into navigation,Inforwaves/articom-base-mobile
2025-08-22,"Add new  ChatInputBar with history, voice input, and document scanning",Inforwaves/articom-base-mobile
2025-08-22,Refactor video handling and remove fullscreen widget for improved structure,Inforwaves/articom-base-mobile
2025-08-22,"feat: Enhance UI with glassmorphism and Google Maps integration
- Simplified ChatBubble widget by removing unnecessary file opening logic.
- Added dark mode styles for Google Maps in assets/map_styles/map_style_dark.json.
- Updated pubspec.yaml to include google_maps_flutter dependency and added map styles.",Inforwaves/articom-base-mobile
2025-08-21,Added the proper attachment adding tot he chat input bar,Inforwaves/articom-base-mobile
2025-08-21,"Refactor chat_page structure for better spacing.

- and added assets.",Inforwaves/articom-base-mobile
2025-08-21,"feat: Implement app background gradient and enhance theme structure

- Added AppBackground widget for consistent radial gradient background across the app.
- Updated AppTheme to include new background gradient colors for light and dark modes.
- Refactored various widgets to use const constructors for improved performance.
- Introduced CardsPage, CarouselPage, ChatPage, MapsPage, OptionsPage, and VideosPage with structured layouts and integrated components.
- Enhanced chat functionality with message handling and attachment support.
- Improved navigation and user experience with glassmorphic tiles in HomePage.
- Added route observer for better navigation tracking.",Inforwaves/articom-base-mobile
2025-08-20,Update video URLs in DemoPage and adjust text styles in AppTheme for consistency,Inforwaves/articom-base-mobile
2025-08-20,\Remove delete attachements button.,Inforwaves/articom-base-mobile
2025-08-20,Enhance MapPreviewCard with glass morph effect and update button styling in OptionsComponent,Inforwaves/articom-base-mobile
2025-08-20,feat: Update color configurations and enhance CardComponent with improved styling and interactivity,Inforwaves/articom-base-mobile
2025-08-20,"feat: Add universal video card and fullscreen player with support for various video providers

- Implemented UniversalVideoCard widget for displaying videos from direct URLs, YouTube, TikTok, and Facebook.
- Added UniversalVideoFullscreen widget for immersive video playback.",Inforwaves/articom-base-mobile
2025-08-20,"Added centralized AppTheme class.
- Updated CardComponent, CarouselSection, ChatBubble, MapPreviewCard, OptionsComponent, and their respective themes to use AppTheme for styling.",Inforwaves/articom-base-mobile
2025-08-20,"Updated CardComponent to include a new action model for handling button and link actions.
- Introduced dynamic height for CardComponent based on content, including optional description and actions.
- Enhanced MapPreviewCard to support Google Maps JavaScript API with a customizable dark theme.
- Improved HTML generation for map previews, including fallback for iframe usage.",Inforwaves/articom-base-mobile
2025-08-19,feat: Refactor OptionsComponent to use API-shaped data model and add MapPreviewCard widget,Inforwaves/articom-base-mobile
2025-08-18,Enhance Carousel with haptic feedback and drag-to-close functionality.,Inforwaves/articom-base-mobile
2025-08-15,add single attachment display and improve badge layout for multiple attachments,Inforwaves/articom-base-mobile
2025-08-15,Add OptionsComponent: implement a customizable options selection widget with themes and haptic feedback.,Inforwaves/articom-base-mobile
2025-08-15,Enhance attachment expander: add pull-down-to-close functionality and improve drag behavior,Inforwaves/articom-base-mobile
2025-08-15,Enhance ChatBubble: added full screen grid view of attachments to include names and delete attacments,Inforwaves/articom-base-mobile
2025-08-14,Refactor ChatBubble: remove box shadows for a cleaner UI and improve layout consistency,Inforwaves/articom-base-mobile
2025-08-14,Implement chat message model and update DemoPage to display messages dynamically,Inforwaves/articom-base-mobile
2025-08-14,"Enhance ChatBubble UI: adjust spacing, add multiple message support, and refine attachment display",Inforwaves/articom-base-mobile
2025-08-14,"Add chat bubble widget with attachment support

- Implemented ChatBubble widget to display messages with optional attachments.
- Created Attachment model to handle different types of attachments (PDF, DOC, IMAGE, VIDEO, AUDIO, OTHER).
- Added UI for displaying attachments in a stack format within the chat bubble.
- Included action buttons for copying text and editing messages (only for sent messages).
- Integrated assets for PDF and DOC file types.",Inforwaves/articom-base-mobile
2025-08-14,Refactor CardComponent and Carousel to enforce square dimensions; update image handling for consistency and improved layout.,Inforwaves/articom-base-mobile
2025-08-14,Rename package from 'bloc_clean_architecture' to 'articom_base_mobile' across configuration files; update main.dart to include chat input bar and add a new carousel item.,Inforwaves/articom-base-mobile
2025-08-13,Refactor CardItem and CarouselItem models to replace 'portionText' with 'subText' for consistency; update related components and UI references accordingly.,Inforwaves/articom-base-mobile
2025-08-13,Add CardItem and CarouselItem models for menu items.,Inforwaves/articom-base-mobile
2025-08-13,basic text inbut bar created.,Inforwaves/articom-base-mobile
2025-08-13,Add  dark mode to RestaurantMenuCard,Inforwaves/articom-base-mobile
2025-08-13,Update package namespace and application ID to match project structure,Inforwaves/articom-base-mobile
2025-08-13,"Refactor RestaurantMenuCard widget for improved layout and functionality

- Updated the structure and comments for better readability and maintainability.
- Introduced a new inline fullscreen expansion overlay for the main image.
- Enhanced the preview rail to support dynamic spacing and alignment.
- Adjusted the metrics calculation for card dimensions and visual elements.
- Improved the handling of tap interactions for the card and action icons.
- Added customizable parameters for bottom fade effects and preview spacing.
- Refined the image loading and error handling in the inline expander.",Inforwaves/articom-base-mobile
2025-08-13,Add restaurant menu card widget.,Inforwaves/articom-base-mobile
2025-08-13,Event card added,Inforwaves/articom-base-mobile
2025-08-12,initial commit,Inforwaves/articom-base-mobile
2025-08-12,first commit,Inforwaves/articom-base-mobile
2025-09-04,"Merge pull request #2 from Inforwaves/Sithija

Chat Bubble Implementation and Options Card Implementation",Inforwaves/articom-base-mobile
2025-12-23,"feat: Introduce `onPressed` for `VoiceAssistantButton` and `expandOnImageTap` for `MiniCard`, update package version, and remove unused dependencies.",Inforwaves/articom-base-mobile
2025-12-22,Professionalize docs and bump to 0.0.1-dev.4,Inforwaves/articom-base-mobile
2025-12-22,"Add detailed component docs, bump to 0.0.1-dev.3",Inforwaves/articom-base-mobile
2025-12-22,Update docs and bump version to 0.0.1-dev.2,Inforwaves/articom-base-mobile
2025-12-22,Prepare articom_ui for publication,Inforwaves/articom-base-mobile
2025-12-22,refactor: remove unused `_GlassPill` widget and improve code formatting in `CardComponent`.,Inforwaves/articom-base-mobile
2025-12-22,"feat: Extract UI components, theme, and models into `articom_ui` package and update base application imports to utilize it.",Inforwaves/articom-base-mobile
2025-12-22,refactor: Extract common UI components and theme into a new `articom_ui` package.,Inforwaves/articom-base-mobile
2025-10-10,"Refactor voice assistant integration and enhance theme support

- Deleted outdated documentation files: VOICE_INTEGRATION_SUMMARY.md and VOICE_PAGE_README.md.
- Updated voice assistant example page to reflect new Next.js app directory structure.
- Modified voice_page.dart to support dynamic theme detection and injection.
- Improved UI responsiveness and color schemes based on device theme.
- Added theme integration documentation detailing the communication flow between Flutter and Next.js.
- Created a new HTML file for the voice assistant interface with enhanced styling and functionality.
- Updated start script to reflect new directory names and ensure proper server startup.",Inforwaves/articom-base-mobile
2025-10-10,"feat: Complete integration of voice assistant into Flutter app

- Implemented Next.js voice route for embedding in WebView
- Created Flutter voice page with loading states and error handling
- Added reusable UI components for voice assistant access
- Developed example page demonstrating various integration methods
- Provided comprehensive documentation for setup and usage
- Configured network security for cleartext traffic during development
- Enhanced Flutter app with microphone permissions and error handling
- Added quick start script for seamless development experience",Inforwaves/articom-base-mobile
2025-11-20,"Merge pull request #1 from Inforwaves/initial

Initial",Inforwaves/articom-docs
2025-11-19,fix: Update theme from maple to almond in documentation configuration,Inforwaves/articom-docs
2025-11-19,add  logo SVG file,Inforwaves/articom-docs
2025-11-19,feat: Revamp documentation for Articom platform,Inforwaves/articom-docs
2025-11-19,fresh mint project,Inforwaves/articom-docs
2025-11-25,"refactor: Update gradient color shades, remove microphone input button, and add reCAPTCHA disclaimer.",Inforwaves/articom-saas-v2
2025-11-25,refactor: update prompt text from 'Generate layout & code' to 'Generate assistant template',Inforwaves/articom-saas-v2
2025-11-25,feat: Integrate ReCAPTCHA for AI chat requests and refine token expiration handling for opaque tokens.,Inforwaves/articom-saas-v2
2025-11-25,refactor: Update global font to Golos Text and introduce CSS/variant refactoring scripts.,Inforwaves/articom-saas-v2
2025-11-25,style: Apply flex column layout to BuildWithAIPopup container.,Inforwaves/articom-saas-v2
2025-11-25,"feat: Improve AI chat popup UI with animations and suggested prompts, and add recaptcha token to agent requests.",Inforwaves/articom-saas-v2
